title,views,date_time,video_link,thumbnail_link
Is coding worth it in 2024? 😥 | AI better than coders? | Tech Layoffs & Recession,1.6K views,1 day ago,/watch?v=GD8xHjxnyK8,https://i.ytimg.com/vi/GD8xHjxnyK8/hqdefault.jpg
Build a Food Delivery Website using React.js | MERN Stack Projects | GeeksforGeeks,1.3K views,2 days ago,/watch?v=bd5DewlahnE,https://i.ytimg.com/vi/bd5DewlahnE/hqdefault.jpg
5 Ways to Prepare for Layoffs in 2024! | AI Tools | Upskilling | Side Hustles,1.2K views,3 days ago,/watch?v=XbG-Z0gxrjs,https://i.ytimg.com/vi/XbG-Z0gxrjs/hqdefault.jpg
Build a 3D Solar System App for Vision Pro | Xcode15 | Vision Pro App Development | GeeksforGeeks,801 views,5 days ago,/watch?v=zPJP8OsxaDs,https://i.ytimg.com/vi/zPJP8OsxaDs/hqdefault.jpg
"Get Hired From Linkedin in 2024 | Best Linkedin Profile Creation | Skills, Experiences & Networking🚀",2.4K views,6 days ago,/watch?v=2QbhA2mthy0,https://i.ytimg.com/vi/2QbhA2mthy0/hqdefault.jpg
High-Paying Tech Jobs Using AI | AI Tools for Coders | Geeks for Geeks,1.8K views,8 days ago,/watch?v=PekLwtZVi3k,https://i.ytimg.com/vi/PekLwtZVi3k/hqdefault.jpg
Web Dev vs App Dev in 2024? Which has more Salary ?🤔 | Career Scope & Skills | Geeks for Geeks,1.5K views,10 days ago,/watch?v=hRTRjWm-2pQ,https://i.ytimg.com/vi/hRTRjWm-2pQ/hqdefault.jpg
Build a Fitness Tracker Website using React JS |MERN Projects |GeeksforGeeks,2K views,12 days ago,/watch?v=HISjHTE2vnM,https://i.ytimg.com/vi/HISjHTE2vnM/hqdefault.jpg
Top 7 High Paying Tech Jobs in 2024 | Skills and Salary Expected | Geeks for Geeks,14K views,12 days ago,/watch?v=BS-y9ieR-mQ,https://i.ytimg.com/vi/BS-y9ieR-mQ/hqdefault.jpg
GATE AIR 21 Shares her secret to become a GATE Topper | GATE Topper Interview | GeeksforGeeks,849 views,2 weeks ago,/watch?v=M5tEUGFpCg0,https://i.ytimg.com/vi/M5tEUGFpCg0/hqdefault.jpg
5 Ways to Become Top 1% Coders in 2024 | Get Jobs in IT | Geeks for Geeks,1.4K views,2 weeks ago,/watch?v=OrNjShjUdow,https://i.ytimg.com/vi/OrNjShjUdow/hqdefault.jpg
Build a Vision Pro App from scratch | Vision OS tutorial | No Vision Pro Needed !! GeeksforGeeks,862 views,2 weeks ago,/watch?v=40uOzA8Kswo,https://i.ytimg.com/vi/40uOzA8Kswo/hqdefault.jpg
Tips to ace your tech job search | Resume tips by expert from @indeedindiaofficial   | GeeksforGeeks,686 views,2 weeks ago,/watch?v=mh7En1ir_XM,https://i.ytimg.com/vi/mh7En1ir_XM/hqdefault.jpg
Three 90 Challenge Back with Benefits | GeeksforGeeks,35K views,2 weeks ago,/watch?v=-d-ZuuF8czQ,https://i.ytimg.com/vi/-d-ZuuF8czQ/hqdefault.jpg
7 JAVASCRIPT Concepts Every DEVELOPER Must Know! | GeeksforGeeks,739 views,3 weeks ago,/watch?v=YxRErpzCa7c,https://i.ytimg.com/vi/YxRErpzCa7c/hqdefault.jpg
MOVIE RECOMMENDATION SYSTEM Using Machine Learning | Machine Leaning Projects | GeeksforGeeks,1.2K views,3 weeks ago,/watch?v=kxT8AursXXw,https://i.ytimg.com/vi/kxT8AursXXw/hqdefault.jpg
MASTERING RECURSION | Recursive Algorithm | DSA Course | GeeksforGeeks,734 views,3 weeks ago,/watch?v=zwGcJ62lZ5g,https://i.ytimg.com/vi/zwGcJ62lZ5g/hqdefault.jpg
CAP THEOREM Explained! | System Design Course - Lec 4 | GeeksforGeeks,359 views,4 weeks ago,/watch?v=GwXp-ZZysDU,https://i.ytimg.com/vi/GwXp-ZZysDU/hqdefault.jpg
Is Software Engineering Dead ? - Meet Devin by Cognition Labs | GeeksforGeeks,1.5K views,4 weeks ago,/watch?v=i8w_2n1GH44,https://i.ytimg.com/vi/i8w_2n1GH44/hqdefault.jpg
7 BEST AI Tools for Developers in 2024 | GeeksforGeeks,1K views,1 month ago,/watch?v=mpIDwAT7m_0,https://i.ytimg.com/vi/mpIDwAT7m_0/hqdefault.jpg
3D PORTFOLIO WEBSITE using React and Three JS | GeeksforGeeks,4K views,1 month ago,/watch?v=udtb67DKyq0,https://i.ytimg.com/vi/udtb67DKyq0/hqdefault.jpg
SHARDING and PARTITIONING | Picking the Right DATABASE | System Design Course Lec 3 | GeeksforGeeks,547 views,1 month ago,/watch?v=eXuOifBVTqg,https://i.ytimg.com/vi/eXuOifBVTqg/hqdefault.jpg
FAKE NEWS DETECTION Using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,4K views,1 month ago,/watch?v=CkiXRQvz4Z4,https://i.ytimg.com/vi/CkiXRQvz4Z4/hqdefault.jpg
Power of RELATIONAL DATABASE & DATABASE ISOLATION | System Design Course - Lec 2 | GeeksforGeeks,543 views,1 month ago,/watch?v=l-r2aAogQ0g,https://i.ytimg.com/vi/l-r2aAogQ0g/hqdefault.jpg
HEART DISEASE DETECTION using MACHINE LEARNING | Machine Learning Projects | GeeksforGeeks,1.6K views,1 month ago,/watch?v=F_9gGyCs3YY,https://i.ytimg.com/vi/F_9gGyCs3YY/hqdefault.jpg
DATA SCIENCE PROJECT with JULIUS AI | AI Tools | GeeksforGeeks,930 views,1 month ago,/watch?v=wvcv4y20vWg,https://i.ytimg.com/vi/wvcv4y20vWg/hqdefault.jpg
WHY LEARN PYTHON in 2024? | Benefits of Learning Python | GeeksforGeeks,1.1K views,1 month ago,/watch?v=AmU9Zi6TNrs,https://i.ytimg.com/vi/AmU9Zi6TNrs/hqdefault.jpg
Doctor Aaye #successsepareshan Rohan ko Dekhne...,225K views,1 month ago,/watch?v=zbBALFXGy4Y,https://i.ytimg.com/vi/zbBALFXGy4Y/hqdefault.jpg
ATS Friendly Resume for Placement in 2024!!! GeeksforGeeks,1K views,1 month ago,/watch?v=GF69ZVc1icg,https://i.ytimg.com/vi/GF69ZVc1icg/hqdefault.jpg
The Secrets of a Good SYSTEM DESIGN | System Design Course - Lec 1 | GeeksforGeeks,917 views,1 month ago,/watch?v=_1h5MnI55LM,https://i.ytimg.com/vi/_1h5MnI55LM/hqdefault.jpg
React JS Made Easy with ChatGPT | GeeksforGeeks,1.1K views,1 month ago,/watch?v=MSmDIkWEtoc,https://i.ytimg.com/vi/MSmDIkWEtoc/hqdefault.jpg
TREE PRACTICE PROBLEMS | Tree Traversal Algorithms | DSA Course | GeeksforGeeks,920 views,1 month ago,/watch?v=0lLmU-VqXzk,https://i.ytimg.com/vi/0lLmU-VqXzk/hqdefault.jpg
GATE CS 2024 ANSWER KEY OUT!! Detailed Paper Discussion - Shift 1 | GeeksforGeeks,792 views,1 month ago,/watch?v=9fTvjjI67Rk,https://i.ytimg.com/vi/9fTvjjI67Rk/hqdefault.jpg
GATE DS & AI 2024 Response Sheet Out | GATE DS & AI | Data Science GATE Response key | GeeksforGeeks,1K views,1 month ago,/watch?v=iFGoMXC4Cxo,https://i.ytimg.com/vi/iFGoMXC4Cxo/hqdefault.jpg
Kyun Hai Rohan #successsepareshan? | GeeksforGeeks,54K views,1 month ago,/watch?v=v41P3Y5Xol8,https://i.ytimg.com/vi/v41P3Y5Xol8/hqdefault.jpg
TREE DATA STRUCTURES | What is Tree? | DSA Course | GeeksforGeeks,1.9K views,2 months ago,/watch?v=AylOfzYJ2qE,https://i.ytimg.com/vi/AylOfzYJ2qE/hqdefault.jpg
